Ligne (ID);Ligne (nom court);Date de début de validité;Résolution;Image
1001;a;2017-09-04;1:100;https://data.explore.star.fr/api/v2/catalog/datasets/tco-metro-lignes-pictogrammes-dm/files/0221df9f6efc6600a0a9fe23a45d906a
1001;a;2017-09-04;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-metro-lignes-pictogrammes-dm/files/e4cf1636f7ce55a1ffabc87ddd3377ca
1001;a;2017-11-06;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-metro-lignes-pictogrammes-dm/files/df0bf51a0d549b3a6725a33c30406f87
1001;a;2017-11-06;1:100;https://data.explore.star.fr/api/v2/catalog/datasets/tco-metro-lignes-pictogrammes-dm/files/6c3b2d105199fcf1fd3b916bdeaf888f
1001;a;2017-11-06;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-metro-lignes-pictogrammes-dm/files/34cf8c525d3a52a82d29661af82c3aa6
1001;a;2017-09-04;1:22;https://data.explore.star.fr/api/v2/catalog/datasets/tco-metro-lignes-pictogrammes-dm/files/f9c9773dacc6f60e6be7ba432354a1f0
1001;a;2017-09-04;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-metro-lignes-pictogrammes-dm/files/67b5e91d179344d28a4972695d9cd4cc
1001;a;2017-11-06;1:30;https://data.explore.star.fr/api/v2/catalog/datasets/tco-metro-lignes-pictogrammes-dm/files/81e4e3e65374af6dda1132808d263a4e
1001;a;2017-11-06;1:1000;https://data.explore.star.fr/api/v2/catalog/datasets/tco-metro-lignes-pictogrammes-dm/files/05a1f92d370f12796ed74dbf4ae6493f
1001;a;2017-09-04;1:300;https://data.explore.star.fr/api/v2/catalog/datasets/tco-metro-lignes-pictogrammes-dm/files/efb50e8ff06d13d7e05a99ea219eb64c
